Loan Id,Duration,Received,Persons Received From Total,Banks Received,Paybills Received Others
,7,1590167.37,1195373,1372064,666032
,3,130535,130535,10500,0
,4,122992,122692,10900,705
,4,122992,122692,10900,705
,6,80801.16,80670,35480,5000
,12,1015951.19,978106,39480,174101
,12,522358.42,522105,181121,61200
,12,354774.4,249984,343422,57440
,12,191987,191927,7124,285
,6,281557.62,254069,4200,5795
,9,267428.55,230297,11600,608518
,5,5494995.56,4602363,2230200,3120955
,12,107933.98,34565,6412,0
,12,735050.51,642837,2466545,1404830
,6,311316.9,265217,24786,17680
,6,65842,65742,71425,5393.7
,12,6602904.63,6559834,1760610,130015
,12,504111.98,444351,286991,80962.55
,12,629690.53,619437,9890,33295
,12,64216,64216,5100,120
,12,521868.19,465288,169073,4875.08
,12,1090157,1073702,149080,9470
,12,188795.31,137430,750,1003563
,12,188795.31,137430,750,1003563
,6,915456.36,673069,44277,17326
,6,559444.94,558298,109790,45039
,12,142354.71,133313,66800,10
,5,34634901.98,31332042,3111576,18000
,12,597684.45,597083,505650,72170
,12,220761,220961,26140,11930
,12,102263,100612,41000,3350
,2,568126.85,34525,1450,1650
,2,568126.85,34525,1450,1650
,12,96105.03,95962,27796,21443
,6,57418.55,58015,174468,189868
,10,166032.61,138540,18080,500
,6,162601.17,145257,152848,58810
,6,78589.34,74038,2800,843
,6,718137.17,710576,285150,77700
,12,268994,267764,255974,33469
,6,584473.63,294014,889920,0
,12,105429.92,105284,10350,3057
,6,127171,127772,12303,1898
recgHvmbEsdbzBKrc,6,116559.38,84727,141635,340700
recSMA6f8arBcsdhV,12,713106,712006,333800,1409
,12,199255.44,198965,0,100
,12,98292.06,86700,153381,776
reculsDwK202xyfKS,12,190412,190182,3404,30850
,12,141612.52,77154,547200,111975
,12,601164.53,593494,30219,6754
,12,2140683.86,1577884,560140,154217
reckicpTc64cva6T6,12,266911.17,197306,4070,0
recGirYXZiOoh9JFa,11,1181993.02,1136669,886325,45274
reckicpTc64cva6T6,6,83338.11,54980,2370,0
recM04SPeMPBmi0oX,12,332546.52,255331,377845,1570
recbunALzzfkwYJHJ,6,1295383.1,1188223,56110,61920
recq8YLJlVZRr0oyC,6,117157.99,94410,1610,490
,3,81400,81420,2500,0
recfIudiILQJ0jO98,6,146386.39,143631,600,0
recshDmC4CZAC7nzP,12,284394.58,258387,37895,4810
,12,1010293.27,982520,14600,95800
,12,1010293.27,982520,14600,95800
,12,103475,103810,74,7550
,12,586912.13,368945,31194,3194
recSxhVGMwDzrIAq1,10,887275.15,751420,125134,460
recc4MkbroFpuvc9R,6,681432.73,626861,160960,17400
,6,1247038.87,928183,731616,19392
recQmJ0OfjshK3bmd,12,74764.07,72176,88335,3937
,12,81237.73,80446,1250,0
,12,1629361,1631661,625500,33874
rec7EjmYOLG7etOPP,6,92123,86583,10250,2330
,12,514488.52,429221,9050,361392
,6,1775077.39,1710099,223750,445245.7
,11,700299.22,635822,18550,17733
,12,1494074.18,1465739,762505,1520777
recntKcOeKwzqGoZV,12,436498.07,391803,320735,5910
,12,444814.17,415307,51645,250
recvKnqRdhWXPKdSR,12,120076.56,118109,66965,2059
recJRT6FfYnFCVMba,12,1754969.98,1674950,205299,688804
,6,86686.53,85973,87212,32516
,9,423596.94,417481,9720,49338
,6,163841,163841,97641,0
reclzPn4E76EcXE8T,6,192281.82,35105,10610,1990693
,12,229633.16,165344,304627,1990
recAgNOIVJ14B9GSK,12,830203.18,818210,796475,24380
