Loan Id,Duration,Received,Persons Received From Total,Banks Received,Paybills Received Others
reco0L9bLZeF3Ganq,6,125589,125459,61699,463
,6,381658.84,264859,170700,0
,12,322662.19,307136,21110,18425
,12,135760.8,93432,11760,2420
,12,188709.46,186613,68742,164
,12,83517.47,82531,38590,110
recdnBydU0qiJAs3b,12,371535.7,354999,41527,188885
recJIWhdiluS3M00J,12,556687.3,357973,402450,3100
recJIWhdiluS3M00J,12,556687.3,357973,402450,3100
recpjm9Bd3NXPJVif,5,762307.3,754289,94730,10567
,10,756218.79,584988,423870,62340
recjs86zpfIo34kUq,12,10065216,10055866,91810,8086
,12,253075.81,252267,89339,63368
,12,226703.78,223207,9355,18321.43
recmWPIXBoxevmmW6,12,157090,158339,27715,47126.73
,12,376115.07,191120,1366969,9884
,11,55708.28,51429,11710,121689.61
,6,149625.98,148541,159060,2100
recyZ0wPzhFrsAqND,12,881567.06,881278,2200,4405
recAVpj5yU2WqOoMo,6,813850.33,742905,17150,4936.17
,12,51412,51412,2590,0
recQnbF1IrL3AYg5c,6,451342.96,426300,53530,5732
recPpYRrtr1N4C5F7,12,3749382.46,3264702,3503500,324900
recmsgKTxldTBuMHm,8,1555872,1001902,269810,60890
recNCvp4ZpFK5GJv0,12,247601.61,221806,702565,122087
,9,2219321.99,1661341,40270,304042
,9,2219321.99,1661341,40270,304042
,12,803570.81,358222,1302481.18,7485
recuSinj9Nm1NjEp3,12,350139,352195,17130,0
,12,179226.65,177445,128906,5410
,12,44437,43888,15900,4300
,12,8257752.44,6886366,10806281,299150
,12,539971.76,537302,8700,7844
recADFIRUXAgoMNhV,12,1073961.43,1047778,446602,15359
recvMCrHdW2RzmMGf,6,269769.51,238001,7236,0
,6,33222.11,22660,10600,51193.47
rec9LLTAA69uwSLyH,5,410964.98,301155,14780,20372
rec4GGXWNSxmyeY65,6,179187.39,175783,330784,354393
rec4rL7vaCjQT326d,12,398217.43,356690,15000,10
recZpNh4EmPFmqchO,6,454713.29,435206,116729,0
recXFflYnoWvJptVo,6,132256.07,110819,587219.9,447423.57
recayXxIHFx7UGUsZ,12,467186.45,403295,151300,1029
rec21DdNJ1wNHi2Yx,6,1294803.26,1269731,76250,42751
,11,237248.7,222470,66941.6,2247
,6,312778.88,304026,948514,308160
,1,151309.04,150000,11000,0
recFbWhreOMQrSfBV,6,341182.51,307878,10035545,0
,10,95071.39,80024,193278,9143.3
recwFImIM58efmeC6,12,2074537,1628409,56100,20
,6,127469,127469,50180,51218.94
recGvvn3TKyFT6YXW,12,1161162.4,1150119,263914,16170
recdSQFOHtINXYiiy,6,646752.76,639756,68748,62348
recgbtJ4jhM92Wxdx,6,167408.22,112075,516470,7330
recUHMhea8d1pGAZe,12,918256.47,819152,1503029,0
,6,2660255.52,2389188,1283951,75552.4
,12,576106.73,487254,8405,460
recMGNBsf620pkVa9,12,1459503.9,1241307,729112,7945
recveTyjwcr1oiiov,11,98798.96,98114,42455,10
reclXuP6CfcFq8WaV,6,59486.74,59227,46810,9800
recZjKb5bZB5OHlni,12,387322.8,279162,140790,14150
recl514Zg8PRKFeCR,6,364482,360002,183875,3880
recA3uSmHQTVDlWgL,12,1506893.65,1454101,577269,73930
recwFImIM58efmeC6,3,717897.6,570603,23000,10
recJFS7ut06T4MVCw,5,1672706.58,519795,65420,27600
recaNB4uh1TjNEApw,12,555477.64,389423,750499,343531.04
,6,322025,322075,300,0
,12,741989.53,711794,362918,64300
recrjJCdtKBa38qjk,6,293963.72,241267,34700,15110
rec35iGJCpxO9PxmT,6,151321,151281,22719,26863
recTiBtQS1JBZyYeV,9,1405632.53,1396642,98600,28676
,12,100109.35,95493,63119,15295.14
recsEt0nW6pmpjy5C,6,157233.16,152314,27740,8815
,12,1400025.28,1196874,669895,28602
recsRNqZf2iREH0VH,6,462881.78,460899,34166,52209
,10,1792602.63,1300792,1466120,40858.7
,6,92458.61,69189,102436,15100
rec98Z5RW6P0Wch20,12,2373766.66,551578,323140,569547
,6,104955.92,87272,36588,2623
recBS5qDCJmzoNlz7,12,1373770.13,1278571,440640,52545
recaXluVqpzCIb9r9,8,1347648.63,1338441,41380,60310
recyduA0905OPFjN3,6,1852110.4,1595859,952215,367487
recopI30jTwo7f4co,12,3763556.96,3212007,713563,975
rectFGuo5VLiV9E0H,6,595841.57,525404,622863,70611
,6,27440,27440,373840,4460
,6,271558.68,213516,314380,283400
rec8uBD94auxtSfEt,12,241529.01,191897,125330,1090
,12,138821.45,121451,21455,340
rec07kPw0Gj6UsfWX,12,169827.64,129469,9000,418734
recvGFUgaQGnBtxWc,6,69416.12,68727,181945,95820
,7,658838.9,488880,73205,2236999
,8,1023233.8,1005654,48670,42316
recJrvar3v55Co2fZ,12,1215568.11,1094992,29200,14260
recJUao4NNg6OQFB9,12,201637.28,177507,10050,900
recfWH6DKEStZdidC,11,245265.23,240918,168230,0
,12,310159.76,304488,646917,50
recEtr995dwKIbJZ2,12,193211,186471,49580,14036
rectYd50aPDLj8AW6,12,40351.65,29923,385762,37530
,4,77306,77206,1460,8884
recrwCDK0t5t5dn6W,12,412301.34,366140,2200,1550
rec66xGLMnsey6JIU,6,309585.03,304084,200,62991
,6,508274.43,300650,352620,180021
,6,1381187.86,1204689,578350,0
,6,18411.16,16380,0,18270
,12,50325.46,50126,2150,4557
recf0Xt2M5t7relfM,12,104811,102637,57920,5247
recgT2Vmg0zpdshmU,6,6222042.15,5340784,513730,5050
recvzBklp23zmaILe,12,212928.06,212783,228412,26800
recHq9SrZeP6SdKk0,12,267426.01,178438,26000,344580
,11,83702.41,82470,2600,28941
,14,510358.04,442936,385011,29691
,6,165775,165985,43850,2596
recB3evH3Ttxn97BJ,12,336672,280272,20880,10590
,12,3915234.4,3421613,9871220,1583806
recUbznOioNlCNjtx,6,506956.96,499990,394960,9260
rec3OcMoQ7SyWUWMg,12,673927.22,635066,112700,805
recyfblkcgjExgVuI,12,286165.37,210091,64880,3190.72
,12,685566.82,603779,106015,53158
,6,1665946.55,1017822,381710,1915317
,2,678542.48,45026,7740,5470
recGSg6LzoXNO3R6V,6,2697907.45,2688331,420650,0
recXO25MHcRX8Ew2V,6,793130.97,648290,185640,31540
,5,1391707.06,1217833,23500,121625
,12,80657.43,78682,300,29858
,12,678121.02,593589,34245,27818
,12,46989.45,43096,0,300
,12,2234427,2414517,695990,70175.71
recV9EOgB6GYlbCxv,12,2058182.14,1826557,5969905,19875
rec1JCHVuEPgJhYrX,12,523695.17,428333,60470,19350.25
recXfVWnt8V9SWtDv,6,2090046.83,2008170,195984,2610
,12,176569,189387,167450,4226855
recFGMqIXU8uWZhpl,6,830083.22,813842,67350,66360.7
recvHW17glJoX3eDF,12,679500,675645,79471,120664
recBDUPR2PqDcXaJD,9,2377420.58,1620600,202830,27412
recysfZ3x70nO4QTw,12,3251296.79,2757490,1460310,58750
,8,805687.69,570114,25850,361771.52
,12,181361.05,138508,12200,3620
,12,3755150.52,3735756,1081201,4000
,6,47575,47335,30,30
,3,367861,350800,149805,31288
,3,367861,350800,149805,31288
recotZSiP8lDuqngX,6,170831.36,147439,28300,1530
rec7gxnhUkB0d3FCN,6,277144.44,265455,19150,1050
recsBO6MoSqicriRG,12,697577.24,335586,107000,528004
,12,788772.32,779858,4600,0
recbm6TpL5q1DeTiv,12,883122.55,857760,228590,12119
recx6R6Wd91IlDmid,6,29740,29740,96125,3381
recR32Y15RRIaDaLi,12,2219792.37,1158599,1636600,15510
,6,1109732.6,1014064,1226450,10
recg1VtvYLf1LbXMu,6,588473.46,577818,154630,58950
recGZfqvkgs1L55xA,6,1734810.49,1091665,38750,2648
recLtoEm8ynW5wM2J,12,665942,666162,72822,107305
rec4mdIU97lXTPbfM,6,1384049.5,1383460,804870,131765
,8,792640.07,723997,57850,282816.5
,6,100588.17,88290,0,0
recLY6cDvqK6gvcDl,11,1708068.74,1649695,64000,12795
,3,233223.84,25276,150,790
recBF21OGNu36NS3p,6,149664.1,112756,186534,70270.11
reckrhBSTcg1Cmrru,12,124807,122282,34450,460823
,12,981730.3,785691,274594,5010
,6,1773179.11,1754763,537729.46,37661
recNVmWu58ygO1FKw,12,478853.76,460609,30580,616
,6,508316.74,443443,214114,63080
recR3oMElEX6yxZEB,6,71004.13,68817,3005,319825
recZXb06dcRpWwOuO,10,2253058,2252038,216550,2030
,12,345997.14,140552,51870,6100
,12,269892,269952,66946,876
recIA3FLcoXX9vUch,12,764739.35,761444,57324,126833
rec0yGcCl7loQgb4S,6,589035,542344,171496,32921
recVNLZHyUprdWflF,12,1527103.04,1520567,1256156,9600
rechivmC28Qbppwyg,6,311888,309640,215193,29930
recNXEx04w7HdWkYz,6,489101.86,464271,836410,4869
,12,2560893,2562593,600091,229749.05
recPcjdQ5Pwc9WtOW,6,379467.86,377558,261982,1403.68
recPruO2MMFkPlmP6,6,679465.5,656376,164590,10138
,6,487622.33,477607,12020,7037
,7,645289,645289,78870,748327
recupp5x7Li6d93rU,12,503654,502184,105920,51000
,6,512863.62,496253,141696,3305
reclNq4g1OO0FV4PY,6,110498,110448,13350,21898
,4,308700,308700,1391050,375400
rec5evQIIPtHp9xNy,6,267774.99,242987,91640,440
,12,98376.44,82032,7541,16551
rece1ke4A9kWky1c2,11,1386805.35,1279593,126930,70
,6,586675,585685,393838,2460
rec22O7gebNeP7d3m,10,1688429.8,1605507,4438526,4810
,5,1585603.71,1478705,771633,2410
,12,438479.42,377198,85364,2122
,6,498625.22,376888,65068,210
rec3q1BcnT3P6Pecp,6,661376.32,636554,59300,880
recNz0c4FbIdj541q,6,530631,22440,134210,1250
,12,136390,134682,0,14400
,6,451376,206802,44060,2571
recKmANDrhbEf24P8,6,243088.39,212463,333327,90520.72
,6,60824,59984,460,20783
recJJsaWADiuLsADj,12,1228170.46,828665,3163202,706017.4
recoPJEimcPXfqxpA,6,652725.17,634437,70280,29550
recTpaEPZydScYOKY,12,477020,475470,115590,420
rec3FcU6JgwaFrEPs,12,870080.34,687197,7729,500
rec63DGMqFhlN3qDe,6,236141.39,209440,47850,447257
,6,233762.17,204453,101096,69424.92
recKemivvNVI6WYYK,6,138626.55,61030,0,500
recWtWeZ6kGuxg17B,6,62447,58347,1070,300
,12,462266.84,460439,133820,1920
,12,2046907.55,1426710,845312,146129
,9,14090,14090,17674,10
recoMq8NPAhgFRrct,11,1271333,1182303,104526,8470
,12,32705,32514,0,0
recmvi9bMy0FwEn27,12,528512,528462,195080,823960
,6,119480.44,104476,462226,160629
recNOoRrIjo16czo9,6,794696.05,749318,368330,109019
recb3EfsV36lOXpdr,12,7319011,7320101,4768410,36770
recUdPGBMRRI5nL8t,12,1730856,1720856,2808300,10000
recVpOQ3gRkrcclI1,12,76758.3,67248,850,40931.5
recQ3kKKWLObyfOAu,10,434670.22,330637,17015,3900
,12,113334.73,99264,61550,1088
,6,125961.41,95645,73723,300
recNdgqZt09EZ8o1j,8,1400204.89,1315716,254630,750
recM2dzuPLvGNYe0v,5,1032976.91,1030089,69190,2110
,12,1755693,1712693,211850,40810
recK9v0sU3Es9Ewfw,6,588618,582198,21940,44579
recaugqcMdKaDvYMh,6,1136251,1136494,4499929,10
rectiA0DqwAFWhTEj,12,218125.16,210435,124792,26609
recgpGtn6TMuUaxsv,6,889724.9,854471,206889,262500
recI2wkT2g6tdyQqE,12,1221324,1214424,975261,158392
,12,1506470.44,1307025,1311784,644468
recX7vXm1xTnaRY4t,12,307242.29,193190,1022710,5000
,12,35418.81,33626,102903.06,57526
,12,312891.41,294419,0,0
,12,399034.21,334391,410987,5000
,6,231039,231029,52050,1950
rec2BZneVKlWVapuY,11,1959060,1958360,7300,1677.82
recYrJQoYFbElq8vZ,12,1120223.68,763667,436347,122928
,10,64022.29,63701,250,9176
,12,7499145.91,5581140,1340040,473000
rec4Eq60vK828gMUy,6,501193.9,422609,42590,87605
recLqEVNUGtQAeaZv,12,3105100,3105850,5560350,772364
,12,114024.2,87691,55811,1922
,10,1148443.69,1086991,32600,185475
recdCb8y35yhzSkFk,12,230166,214770,80120,128499
,5,7641322.15,5085506,3786300,372270
rectxOzbba4eq6bcL,6,431184.36,418023,1549180,335649.7
recpab3KOW83XRE1E,6,173107.43,139465,314250,0
recSGAX1is3zIcLDb,12,389876,348962,20790,710
,12,45319.1,30251,0,10
recYpqoIWvudjn2Xd,12,1435796,1376616,347350,38910
,6,2222974.38,2184344,194265,3115246
recucaxwSJ3EPBb4h,6,956370.25,954557,580050,14010
rec6goHqyLXYikSWi,6,483540,483912,73700,431208
,6,168995.41,135850,217400,34406
rec9HttEh9676s1Mi,12,214888,215118,481775,1155
recjBeWGNXvd7nI62,12,2541930.41,2276457,360910,93879
recQ5ZMgTUAz2gpcB,6,107202.48,102610,283301,5510
,6,460379.08,410547,451900,11400
recIaUiAsE3BWaEMI,6,478409.54,104694,12610,1260
,11,28392.85,31090,510150,170594
rec5Vb0uHtPf5H9nc,12,1609813,1609048,686475,88000
,12,179121.79,177777,42160,3035
rec5wi1QkuC48BbKV,6,512715.08,464659,60982,4015
,6,96853,96663,0,1803
recaDyZz6T88cc9lA,12,363054.27,358904,162193,54474
recZCB8jCedXTZeOq,6,610986.49,538906,293000,50427.96
,6,1528941.2,659600,800898,0
,6,62695.76,55232,62100,169375
,12,826705.02,817712,4000,34489
,12,1165369.75,1148903,189943,12960
,4,67962,67862,0,4510
,12,28800.24,28527,17900,20
recjVMyCHmFKjvssB,12,669304,667954,1696730,150000
,6,549583.89,488217,1015235,9078
recaS3B5Pdix251K1,12,669865,667133,65896,18838
,6,301031.78,300053,37380,2050
,2,39400,39500,1700,10
,12,1038759.66,1011058,53150,16010
recZO9k9pJuQz9iDh,6,1038240.45,957007,100589,88844
recdeloqeans2mXJL,12,325207.06,117342,3259,500
,6,437034.56,331840,290750,17593
recwMro0cAO2IAk2U,12,326055,326135,108930,546881
reczmAl7oaeUKjfpw,6,199032.56,144734,11220,250
recOdfZiIF9nSFfLW,12,272739,269929,5000,24310
recW0ElXOjPrHmG2H,6,245677.95,234161,0,29113.17
recf8Izri9jRk6ahB,8,1942569.46,1879730,57090,1780
,6,1250212,1241212,152800,2690
,12,131214,131278,15176,20271.01
,6,311780,311720,20825,14750
,6,276760,202950,305710,20
,12,202438,202438,54660,2700
recdGn0K6JlUMvnm5,12,1108618,1080858,63920,23400
recgtYWnKPiXC1294,12,5049466.2,5039245,1317680,31200
,12,29198.3,28871,350,6050
rec38xugGJX7G2Q8Z,12,407780.82,314328,14100,100
recGMkhSx0tUo9Yhj,12,391058.96,389607,56440,10
rectVUADIihOlBEsj,6,63020,63620,86330,124030
,6,47033.93,26989,30,4924
recjvK5aujF7fmkBm,12,284389.62,202505,8800,899
,12,93136,89035,150,295
,12,111580.7,89111,11100,310
,12,4452219.23,4374665,3031408,295337
,12,662008.66,635655,33665,103816
,12,5460704,4938164,1735627,371010
recZpFSVw3NEahGXM,12,299756.13,296281,375,250
rec2O12vqwhmmgAdz,12,272296.76,262821,12860,720
,12,428952.97,420476,69690,15028.81
,6,679143,676523,227540,32396
recSQfMcWPsyWDCxO,6,781567.52,660783,53031,13528
,12,109533,110618,158687,2418.13
recbp2IUtUi7kQcYD,6,217935.88,186727,70260,10
,12,117856.32,116268,517800,330
recEveMcRYLuyeqZ2,12,635804.48,574227,185350,144
,12,386611.04,307897,769867,2600
recTDRrbRIa0sOrZj,12,356791.02,308841,98597,1450
,3,807030,807060,49990,0
,12,2150609.81,2133427,406510,8610
,3,1228930,1228960,49990,0
,11,337531,337593,54814,4286.8
,8,808825.66,778338,50407,24283
,11,67288.2,63513,350,8500
,6,5989622.99,5927516,1287800,109501
recydfPI4IFG8w5xd,12,131251.83,108686,190458,17421
recttAaeZmpvQfTiC,12,1494196.04,1130772,333558,4500
recttAaeZmpvQfTiC,12,1494196.04,1130772,333558,4500
recie0nEBNd9Um9uJ,12,136265,136325,14700,7750
recjU0s42vgW5ygy3,6,39039.54,34660,93300,1000
,12,104538.48,104360,9867,32328
recS8rl64BAtzXI0d,12,401471,400176,182434,56950
,6,98992.75,47511,83140,0
,12,78373,78033,89794,20
recsKsvgKScs7vQJS,12,800187.35,722174,890874,75400
recXpShDe5bcv3BRB,6,94719.11,77347,115353,1050
recaJpLo3J1isFvZ4,12,280209,279909,40,700
,6,23794,23764,7200,0
,12,867522.46,638122,621858,162100
,12,183562,182412,18917,0
recIVqWZImBS7vHcK,12,411278,410428,10409,445
,6,77325.89,47668,150,7376
rectrmicD3Y12VrCT,12,152662.19,123680,0,101
recNwMwQHR04bcgTk,12,208836,141886,270,447799
recUeR4jjZJlcx7oa,12,2179016.9,1816538,3092810,0
,11,261445,261295,55780,410
rechN2Aq3VsjMgEgl,12,567496.5,464718,244100,0
reca36sGwkmivJuqc,12,516029.84,469143,17210,52978.09
,12,242322.69,239290,7400,556
rec5nMYd5z4U43ImZ,12,507827.21,507771,129653,1687
rec6h9eERvaRw6tzd,6,151312.77,138705,137167,290
recMd6E4hXwyr8v5B,12,529354.07,480278,53945,89810
recJiCNZgeZMMF9eG,6,659098.14,600292,173860,10839
,12,35445.99,33887,1400,8710
,12,2462702.1,2427270,2189300,143695.04
,12,880766.16,879420,164650,88997
recDwRVHPMXMfy71X,12,430047.34,408508,150950,0
recrQBKczAUvJw6hh,12,247690.54,168141,32620,9062
recpj5LQp3Me4i4xf,6,357301.46,350308,391500,31010
,12,678475.38,675714,40700,2640
reciIlcqz2qW4WCRY,6,110994.16,110635,3000,65515
,12,503603.23,474578,24150,18762
rec8y18D7ZdhV6YSH,6,311266.59,302102,23253,7630
,12,108398.93,104898,2330,4820
recAyU80H1oJ4QcMH,6,55009.95,49025,134140,5367680
,6,265047.39,259181,0,9000
recxNv2t0SEZj1yJd,12,1217201.68,898457,2102868,88563
recieEoa7WM1ubOZJ,12,1018014.07,968357,194000,735175
,6,76185.9,30280,0,54035
recTLlos2dn28bO2Z,11,652464.31,638106,77955,75770
recqNzVEVKbYJ6EIn,6,10547093,10472730,1680620,28600
,6,103860.32,81230,2000,450
recawFPpnMN0D9SEV,6,465425,452670,22350,1310
rec90XPlaQrcSglCP,12,804705.29,799281,207089,8799
recMWftzTjEJcvoVo,6,1048546.44,983749,98300,200
recHfUqIB8Pp4Vs4d,6,486063,484723,11100,5116
recNubi91py9hMw6p,12,603527,597810,59200,2880
,12,253889.65,253233,88339,64268
,7,1394699.39,1094054,319850,63860
,11,1092723.5,1086545,81105,8330
recsOl1KDB5CVjvby,12,777295,777895,750063,119035
recBJOhpZ1j9h4QnW,12,972825,961445,254154,2015
,6,57091.13,55572,9350,4050
recQJB8skYK0qbVlF,11,57474.18,55999,54632,41055
rec3NinTxeVOnWBzK,6,386080,384780,24450,0
reczHX5t6yJcoiASm,12,569847,568197,95987,319158
,12,611249.76,610797,281623,85592
,6,38649,37947,20755,460
,6,121929,121939,11500,0
recYHtfSS8iycBdU7,12,978245,978145,141350,30710
recqyrEzAtuYWL4kG,12,304607.15,229398,89340,10
,12,93617.82,89071,1430,1100
,12,308792.62,305700,63492,23780
,12,1762777.59,1668269,2872655,120640
reczp0Wc09UYjCYk3,12,645267,631502,663745,590757
,12,878214.34,869991,778355,0
recMAMPUkMldnn6ad,11,638960,635680,368185,9950
,12,21572,21572,0,1210
rect45IghG845USo2,6,617860,617070,32589,5960
recRUuylLxSq2XnQd,6,240442,232600,7850,8260
recc2XtO2W8IKDBGW,12,2139640.07,2137781,679797,0
rec0Tp0Lw9awSLj5k,12,517541,516041,82680,10
,12,112941.82,106734,26171,1561
,12,2332725,2333125,142880,1735
,12,29265,28945,725,175
recvEg9AKDs8Yu74q,12,1108898.59,1034395,401400,3100
,6,12279.08,11020,55450,15162
recxV4LiAMsYbqHMN,12,1553950.27,771593,1298480,2244735
reco9DryRsrT8O3Du,12,255601,196794,115055,21154
,12,94868.29,93645,173251.6,225455
,12,534142.79,451035,610209,5110
,8,3082748.87,2498225,1118100,1510
,6,828336.38,806674,230642,5320
recF3S0L5zqkWvGw3,6,202119.86,187943,25420,920
,6,850113.38,485795,38800,0
,6,53943.76,36829,3500,10762
rec6XJ0j3MpAxWFHo,6,863318.32,857028,160948,26792
recF7HMDGp9hfCCPC,6,712734.43,640663,135170,6422
,6,364906.81,316675,34350,15450
,12,4379164.4,4011770,4157304,33580
,12,4379164.4,4011770,4157304,33580
recRdaxB3HZwPb4Aq,11,1306271.61,955358,353100,186386
recGeiFBnNuk1jufY,12,102462,102542,500,0
,6,627182.98,468959,52500,4001
rec3j3u8lTOj6kBng,12,355096.01,352347,21360,19237
,11,152289,152289,5380,33291
recg3GY2llNQJaJTf,5,37121,37121,66600,835
,12,876068.26,856600,31330,28010
rec9xKVo7hqA5uBlx,6,250747,250697,276652,10
,12,73770,73770,11260,3333
recdCnCm4pyhqG13N,12,70404,63904,715,0
recKEf1MlQ6uBVxoC,11,696349.71,688625,74430,39078
recKEf1MlQ6uBVxoC,11,696349.71,688625,74430,39078
,6,361070.62,78180,10480,7120
recMxOJNFfMJyVmmf,12,278447.48,275675,492500,860
,12,331679.16,318364,99720,70
rec9rdWCspfhlO6CZ,7,231369,230589,32405,12675
,12,3567734.98,2171297,256855,1025216
,12,610002.02,607893,763750,7580
recXy3IRgzKlOhDnx,12,218966.99,159260,111908,4190
,12,107248,107253,4470,10
recFW0eVOL8xPhNa7,12,80042,79273,7830,0
,6,496723.77,399788,532920,38607
,12,5251848.22,5249297,1122440,55157
recGvfE9O9a9GPfog,12,96092.08,95614,57100,0
reciRzZOkzrCzQF3n,12,352539.44,348499,16982,15389
,11,83374.41,80143,45917,105094.5
,12,1245621.34,1132559,2914054.15,1034658
,12,454072,164394,570,8575
,6,60147,60147,0,0
recZEFhDSOc3SqbFW,12,150560.95,131796,56500,9184
,12,1237973.72,993513,572790,533246
recFepXCJhTaV1upO,5,434825.86,341212,9380,1470
recLhMQFLTURfh111,12,556739.55,542220,562908,46050
,12,86733,86333,1200,10
,12,132877.76,134845,0,0
,6,66564.55,46624,2680,2549
reck69eE8EQzYkj4b,12,367069.69,363944,0,10
recQdEYYE2eIRiigf,12,327528.2,325287,40320,79700
,11,184651.97,181094,48620,700
,12,49406,49406,154430,970
,12,24162,24112,0,650
,12,229233.61,208125,109320,10
recGpAANEmUPDD5iw,11,594866.82,414310,5050,3630
recMEjBccGMAXlAF4,6,1551908.05,1527730,2442750,6600
recVwbnnkjDQUR5MA,12,2589662,2582432,894449,94510
,12,297434.28,297420,3900,12410
recwbCi8YM31UMjGe,12,87981.21,87976,289610,0
,12,8201588.5,5384086,4682885,15005
,6,346124.24,278289,2650,1001
,6,346124.24,278289,2650,1001
rec3DI7G7FUZBKXDf,12,317804.34,302538,20,0
,6,6008974.85,5262087,4717191,86596
,12,43379.19,43405,46795,139108
recD5REZFBh9reRxd,6,239018.73,235884,43150,95190
recd5P5VgO9Oqb5L6,11,240936,240686,14080,10
recxJvv7pQ2YjLF4A,6,71244.51,60250,14770,98
recKmBtSiMDt1mGR5,12,153482.72,100763,275661,154828
,3,1013270.79,987600,171845,3365
,11,1946402,1926252,416330,1195
recuw1pE8b6vFU7HU,12,145596,145279,230406,149886
,12,1114737.39,948715,342550,19510
,6,158526,160036,21877,100
recoZO5agxgqp5WC3,12,410541.94,408416,111840,555739
,12,395576.16,196300,301245,132996.54
recWsrjbMReHGm4rv,12,997839.15,937628,321648,8150
,12,2937464.21,2288331,2204918,12555
recfZlttrspUGbzmD,6,1378568.35,939199,203565,167340
recO9v9efPgswCxt4,12,154164.18,130917,18260,185
rec66DZ7cEiuyFENP,6,2198141,2198141,802400,2140
recMJqYIRKmdYjj40,6,58450,58450,161555,0
,6,224656.46,215104,137830,9960
recrCCwSNW6mGKwjK,11,1832343.47,1563961,412315,63562
rec9RQrqt8QB5jL9E,12,225883,211879,89980,91465
recNdOsz0WDn58HNL,12,193112,193112,11590,2049
recYkSIhRvAgSH3yd,12,754542.89,683521,59700,13420
,6,139183.57,127468,1500,3102
,12,330567.75,280878,1336,41136
recfeCsKu3iF3KRoy,9,88960.82,72271,8000,0
,3,1014930.79,988100,171615,3365
rec4kIFEdulXwH2xI,12,1438809.81,1265162,452080,145880
,12,1152521.48,811165,975446,4968
,12,354162.46,339088,1188787,515173
recwAVFjGRlTd8zp0,12,3248920.01,2669789,185750,22344
reczNR1f7lZ0RKoXu,6,193580,193580,47895,25860
rec6lUazzjUFh8KA1,6,981529.46,944615,19550,101.81
,12,131155,131255,24834,20
recIcxwPN5I6hwOce,12,387562.59,250117,112855,20650
,12,990692.01,831500,461750,364850
,12,116979.72,113418,0,48612
recCaPnw3iBjjJUp8,12,191110,188025,42490,20232
,12,268935.93,265711,49707,39665
,12,24173,24073,0,10
,6,440706.18,398699,114840,29120.76
,6,440706.18,398699,114840,29120.76
recB7o8vuLJ7DnWzD,12,147378.44,146284,2300,172
recDWvNDuBMKaGcgO,11,484920.64,412954,10430,144349
,6,213240,46247,3710,1184
,12,18866.15,13136,142445,475
recSIpRgPzXBAC8dZ,12,956017.42,926773,372296,23217
,12,94636,94636,0,0
,12,2625561.58,2508817,1264070,164050
,10,698891,696391,16000,6348
,11,95656.7,92046,220805,0
recnhRMrM52Lo2iGA,6,43330.7,40166,40250,0
recqtJgRQw93VLMZw,9,344960,192980,890,1170
,6,149910.88,147260,30702,0
,12,184514.3,176825,43300,70
,6,251973,246973,31190,5552
rec8ccHKHbwbLmY5i,12,131476.36,130831,79100,8700
rece6HCxywDRplpek,12,1024881.86,996511,209234,1025
,5,309369.16,307902,46480,20
recBurQyFGQKTv8hx,6,1561790.24,1389399,98534,44019
,12,163282.24,161817,34050,600
reccW6ne1cuX0tbF6,2,530077,42647,1300,2250
recvTHQaxpRBPnHVm,12,177065,177065,628850,121658.33
,12,720403.09,711644,223047,98030.94
recbHVasQKvOZOYXf,6,4892,4787,79805,53974
,6,156158,155848,9224,4518
,12,187096,187096,200,11740
recmwfMlyTVlw4MFO,6,734158.26,718283,49120,129355
,12,326935.79,244496,203390,5074
,12,163104,163104,1950,0
,6,59255.24,55365,36289.92,0
,12,799729.35,798716,96800,16535
,24,302572,302312,37980,18464
,12,37986,37486,3100,4500
recQ3iaL8sv6q1lMu,6,177717.54,176592,2900,126744
recoND4aEWQYGFuNB,6,149325.85,136255,25500,850
recngwzhW78BdEclk,6,510834.88,481514,448450,119493
,6,514818.88,436648,442825,205020
,6,57692.03,47540,63180,2380
,6,541148.96,540706,430842,83572
rec69mwidIEuHbLDv,6,383372.82,312832,22885,4610
rec6IFWsab8X554Zz,12,735123,710873,16110,760
reconWqMJMW1VIabY,10,4124937,4109647,446900,200
recOqLTTQq5dobwJo,6,862089.04,861710,16350,960
recALbJkSYiWCHYum,12,369575.36,365796,65477,183860.24
,11,141498,138883,21124,18126
recTSmOza0I0KSm6v,12,1050700,1050700,427890,800
recRW7jyJD8nTPRhn,12,2192704,2192624,657263,24520
,6,290516.17,206958,87270,16760
,12,322545.94,312389,30583,3593
,6,159480,159480,33000,1241
,6,26887,26887,5994,110
,12,533376,532675,1600,1900
recJVoPf9bZb8OSx1,12,1387031,1380532,505987,94814
,6,332505.59,332309,221013,46486
recyvZuQh9fdf2Pkh,12,431277,398873,45981,5597
,12,21768,20911,1150,450
,11,20930,20930,0,1098
,6,295802.58,146417,1500,53810
,12,676673.61,512262,548230,191388
recpImomrYmMi6Gp6,6,236835.41,152312,119320,8679.51
recFRXaEu3ZGZTkWF,7,1265475.07,800803,292405,258889
recNRgKNdk0mFgTKd,12,672500.5,616090,881794,109785
recKarw2QPgWgV7sU,12,477765.19,410837,208856,425205
,12,219205,217721,29710,4740
,12,174689,130449,53680,0
,6,47481.82,46142,4850,670
rec7gsamr7phmVGtt,12,717846.11,550243,60710,78152.92
,6,309176.22,261726,43730,1615
,12,846661.58,843553,815456,432051
